"","V1","V2"
"873","BRCA1","CIC"
"874","BRCA1","CTCF"
"875","BRCA1","DHX9"
"876","BRCA1","DNMT3A"
"877","BRCA1","GNAS"
"878","BRCA1","GRIN2D"
"879","BRCA1","GTF2I"
"880","BRCA1","INPPL1"
"881","BRCA1","KIF1A"
"882","BRCA1","KLF5"
"883","BRCA1","KRAS"
"884","BRCA1","MAP3K4"
"885","BRCA1","NIPBL"
"886","BRCA1","NOTCH1"
"887","BRCA1","NOTCH2"
"888","BRCA1","PIK3CG"
"889","BRCA1","PTCH1"
"890","BRCA1","RAD21"
"891","BRCA1","RBM10"
"892","BRCA1","RNF111"
"893","BRCA1","SMC1A"
"894","BRCA1","TSC2"
"895","BRCA1","TXNIP"
"896","BRCA2","ELF3"
"897","BRCA2","FAT1"
"898","BRCA2","MYH9"
"899","BRD7","BTG2"
"900","BRD7","CASP8"
"901","BRD7","CDKN1A"
"902","BRD7","CNBD1"
"903","BRD7","CSDE1"
"904","BRD7","CTNND1"
"905","BRD7","DACH1"
"906","BRD7","DDX3X"
"907","BRD7","EEF1A1"
"908","BRD7","ERBB4"
"909","BRD7","EZH2"
"910","BRD7","FOXA1"
"911","BRD7","GATA3"
"912","BRD7","GPS2"
"913","BRD7","JAK1"
"914","BRD7","KEAP1"
"915","BRD7","KEL"
"916","BRD7","KIT"
"917","BRD7","LZTR1"
"918","BRD7","MAP3K1"
"919","BRD7","MLH1"
"920","BRD7","MSH6"
"921","BRD7","NF2"
"922","BRD7","NUP93"
"923","BRD7","PCBP1"
"924","BRD7","PGR"
